CDR_ID,IPDR_ID,Link_Confidence,Link_Type
CDR_00004677,IPDR_00000296,0.903,TEMPORAL
CDR_00002523,IPDR_00003108,0.948,DEVICE
CDR_00005875,IPDR_00002248,0.832,DEVICE
CDR_00004470,IPDR_00002001,0.93,DEVICE
CDR_00002171,IPDR_00000979,0.829,TEMPORAL
CDR_00002977,IPDR_00003750,0.983,NETWORK
CDR_00000201,IPDR_00001914,0.975,NETWORK
CDR_00004553,IPDR_00000009,0.802,NETWORK
CDR_00000723,IPDR_00000090,0.896,DEVICE
CDR_00002227,IPDR_00001316,0.724,TEMPORAL
CDR_00003659,IPDR_00003461,0.814,NETWORK
CDR_00003246,IPDR_00001498,0.804,DEVICE
CDR_00004028,IPDR_00001053,0.787,NETWORK
CDR_00001155,IPDR_00000101,0.975,DEVICE
CDR_00003087,IPDR_00000503,0.727,TEMPORAL
CDR_00001169,IPDR_00001647,0.939,NETWORK
CDR_00000444,IPDR_00002848,0.991,TEMPORAL
CDR_00000057,IPDR_00002507,0.735,TEMPORAL
CDR_00003614,IPDR_00003356,0.841,TEMPORAL
CDR_00005262,IPDR_00002847,0.946,TEMPORAL
CDR_00004878,IPDR_00002384,0.753,TEMPORAL
CDR_00004220,IPDR_00000102,0.857,DEVICE
CDR_00001470,IPDR_00000212,0.972,DEVICE
CDR_00002288,IPDR_00001129,0.737,NETWORK
CDR_00000801,IPDR_00002572,0.807,DEVICE
CDR_00002883,IPDR_00003124,0.768,DEVICE
CDR_00005532,IPDR_00002900,0.978,NETWORK
CDR_00002572,IPDR_00001690,0.864,DEVICE
CDR_00000364,IPDR_00002498,0.805,TEMPORAL
CDR_00002106,IPDR_00003060,0.72,TEMPORAL
CDR_00000400,IPDR_00000250,0.919,DEVICE
CDR_00004680,IPDR_00002274,0.969,DEVICE
CDR_00000442,IPDR_00002943,0.97,DEVICE
CDR_00002971,IPDR_00001535,0.838,DEVICE
CDR_00001921,IPDR_00002203,0.705,NETWORK
CDR_00004170,IPDR_00003568,0.947,TEMPORAL
CDR_00000902,IPDR_00001552,0.801,TEMPORAL
CDR_00001575,IPDR_00000006,0.994,TEMPORAL
CDR_00005852,IPDR_00000030,0.784,DEVICE
CDR_00001888,IPDR_00002772,0.969,DEVICE
CDR_00001139,IPDR_00002742,0.702,NETWORK
CDR_00004733,IPDR_00003544,0.915,TEMPORAL
CDR_00003285,IPDR_00003592,0.983,TEMPORAL
CDR_00001727,IPDR_00000406,0.81,DEVICE
CDR_00005974,IPDR_00003877,0.715,DEVICE
CDR_00003118,IPDR_00000367,0.944,NETWORK
CDR_00003107,IPDR_00002300,0.813,TEMPORAL
CDR_00003319,IPDR_00002896,0.878,NETWORK
CDR_00002313,IPDR_00002016,0.943,DEVICE
CDR_00003388,IPDR_00002548,0.892,DEVICE
CDR_00003899,IPDR_00002884,0.837,DEVICE
CDR_00005602,IPDR_00002713,0.921,TEMPORAL
CDR_00004139,IPDR_00000195,0.838,TEMPORAL
CDR_00000716,IPDR_00000362,0.937,NETWORK
CDR_00002778,IPDR_00003666,0.721,NETWORK
CDR_00000366,IPDR_00001672,0.986,NETWORK
CDR_00004811,IPDR_00002738,0.902,TEMPORAL
CDR_00001788,IPDR_00001210,0.988,DEVICE
CDR_00000278,IPDR_00000704,0.759,TEMPORAL
CDR_00000037,IPDR_00001716,0.964,NETWORK
CDR_00002397,IPDR_00003406,0.932,DEVICE
CDR_00004226,IPDR_00001247,0.948,DEVICE
CDR_00005912,IPDR_00003907,0.732,NETWORK
CDR_00003746,IPDR_00000921,0.716,DEVICE
CDR_00001225,IPDR_00000274,0.833,DEVICE
CDR_00000316,IPDR_00001889,0.753,NETWORK
CDR_00005630,IPDR_00002977,0.996,NETWORK
CDR_00003000,IPDR_00000981,0.925,DEVICE
CDR_00004146,IPDR_00003524,0.863,TEMPORAL
CDR_00005497,IPDR_00001628,0.742,DEVICE
CDR_00004937,IPDR_00001345,0.785,DEVICE
CDR_00003069,IPDR_00001704,0.813,NETWORK
CDR_00001807,IPDR_00003657,0.96,DEVICE
CDR_00000092,IPDR_00000796,0.843,NETWORK
CDR_00000271,IPDR_00001897,0.936,DEVICE
CDR_00001413,IPDR_00001284,0.879,NETWORK
CDR_00004338,IPDR_00002200,0.973,NETWORK
CDR_00000449,IPDR_00003530,0.735,NETWORK
CDR_00001481,IPDR_00002468,0.843,TEMPORAL
CDR_00004114,IPDR_00001007,0.88,DEVICE
CDR_00003040,IPDR_00001581,0.894,NETWORK
CDR_00004844,IPDR_00003428,0.722,DEVICE
CDR_00004221,IPDR_00001847,0.822,DEVICE
CDR_00004972,IPDR_00001052,0.976,NETWORK
CDR_00000939,IPDR_00003562,0.791,NETWORK
CDR_00003629,IPDR_00003990,0.741,DEVICE
CDR_00004790,IPDR_00003635,0.907,NETWORK
CDR_00001567,IPDR_00001829,0.912,NETWORK
CDR_00001946,IPDR_00002287,0.894,NETWORK
CDR_00001694,IPDR_00002299,0.849,NETWORK
CDR_00005988,IPDR_00000590,0.791,TEMPORAL
CDR_00005660,IPDR_00003694,0.844,NETWORK
CDR_00000879,IPDR_00003885,0.796,NETWORK
CDR_00000127,IPDR_00002576,0.761,TEMPORAL
CDR_00004420,IPDR_00001066,0.996,DEVICE
CDR_00000528,IPDR_00003689,0.782,TEMPORAL
CDR_00003621,IPDR_00003101,0.721,NETWORK
CDR_00002058,IPDR_00003726,0.929,TEMPORAL
CDR_00002961,IPDR_00000913,0.871,TEMPORAL
CDR_00002782,IPDR_00003180,0.969,DEVICE
CDR_00001474,IPDR_00003681,0.813,DEVICE
CDR_00003216,IPDR_00002783,0.917,DEVICE
CDR_00004779,IPDR_00001935,0.92,TEMPORAL
CDR_00001895,IPDR_00003685,0.851,NETWORK
CDR_00002281,IPDR_00001065,0.922,NETWORK
CDR_00000481,IPDR_00003212,0.713,DEVICE
CDR_00000854,IPDR_00002238,0.759,TEMPORAL
CDR_00002485,IPDR_00002204,0.832,NETWORK
CDR_00004098,IPDR_00000046,0.727,DEVICE
CDR_00001176,IPDR_00003543,0.893,NETWORK
CDR_00001173,IPDR_00002744,0.804,NETWORK
CDR_00004839,IPDR_00002407,0.888,NETWORK
CDR_00001071,IPDR_00000537,0.783,TEMPORAL
CDR_00004492,IPDR_00001194,0.734,DEVICE
CDR_00000388,IPDR_00000501,0.721,TEMPORAL
CDR_00004633,IPDR_00002933,0.965,TEMPORAL
CDR_00004488,IPDR_00003852,0.726,NETWORK
CDR_00001162,IPDR_00000519,0.949,NETWORK
CDR_00000753,IPDR_00002990,0.944,NETWORK
CDR_00005519,IPDR_00002192,0.751,NETWORK
CDR_00002173,IPDR_00003419,0.797,NETWORK
CDR_00002279,IPDR_00002293,0.98,NETWORK
CDR_00004094,IPDR_00000890,0.801,TEMPORAL
CDR_00005693,IPDR_00000871,0.99,DEVICE
CDR_00002558,IPDR_00001668,0.878,NETWORK
CDR_00000720,IPDR_00000205,0.958,DEVICE
CDR_00001241,IPDR_00003267,0.989,NETWORK
CDR_00003132,IPDR_00002993,0.975,NETWORK
CDR_00001055,IPDR_00000901,0.873,TEMPORAL
CDR_00001444,IPDR_00002807,0.951,NETWORK
CDR_00003615,IPDR_00002931,0.809,NETWORK
CDR_00002946,IPDR_00003310,0.714,NETWORK
CDR_00003805,IPDR_00002707,0.728,DEVICE
CDR_00001911,IPDR_00000665,0.931,DEVICE
CDR_00005807,IPDR_00003282,0.743,DEVICE
CDR_00002005,IPDR_00000149,0.791,TEMPORAL
CDR_00003338,IPDR_00002879,0.902,TEMPORAL
CDR_00000034,IPDR_00003942,0.886,DEVICE
CDR_00001290,IPDR_00003338,0.926,NETWORK
CDR_00001297,IPDR_00002083,0.72,NETWORK
CDR_00004063,IPDR_00000402,0.771,TEMPORAL
CDR_00000447,IPDR_00000807,0.8,TEMPORAL
CDR_00003635,IPDR_00001238,0.842,DEVICE
CDR_00002595,IPDR_00001576,0.979,TEMPORAL
CDR_00002132,IPDR_00003023,0.815,NETWORK
CDR_00005539,IPDR_00001161,0.748,TEMPORAL
CDR_00002535,IPDR_00002539,0.803,TEMPORAL
CDR_00000943,IPDR_00000238,0.839,DEVICE
CDR_00002358,IPDR_00001372,0.995,TEMPORAL
CDR_00000151,IPDR_00003854,0.816,DEVICE
CDR_00003470,IPDR_00003478,0.846,DEVICE
CDR_00004155,IPDR_00002046,0.889,TEMPORAL
CDR_00004892,IPDR_00002074,0.926,NETWORK
CDR_00001040,IPDR_00000508,0.907,TEMPORAL
CDR_00000600,IPDR_00000784,0.736,TEMPORAL
CDR_00000814,IPDR_00003358,0.986,TEMPORAL
CDR_00002127,IPDR_00002842,0.862,DEVICE
CDR_00002070,IPDR_00001046,0.894,DEVICE
CDR_00002798,IPDR_00002994,0.931,TEMPORAL
CDR_00004271,IPDR_00003529,0.974,NETWORK
CDR_00000283,IPDR_00000771,0.852,DEVICE
CDR_00001106,IPDR_00001491,0.819,NETWORK
CDR_00001794,IPDR_00000157,0.987,NETWORK
CDR_00002907,IPDR_00003472,0.715,TEMPORAL
CDR_00003911,IPDR_00000640,0.999,DEVICE
CDR_00000234,IPDR_00000703,0.908,DEVICE
CDR_00002810,IPDR_00002597,0.816,DEVICE
CDR_00003727,IPDR_00001471,0.725,TEMPORAL
CDR_00001908,IPDR_00000396,0.941,NETWORK
CDR_00005610,IPDR_00000813,0.844,NETWORK
CDR_00003072,IPDR_00000524,0.756,NETWORK
CDR_00004879,IPDR_00000054,0.803,TEMPORAL
CDR_00003135,IPDR_00000727,0.836,TEMPORAL
CDR_00000299,IPDR_00003160,0.913,NETWORK
CDR_00001197,IPDR_00001999,0.795,TEMPORAL
CDR_00003212,IPDR_00003658,0.723,DEVICE
CDR_00005449,IPDR_00001865,0.78,DEVICE
CDR_00005643,IPDR_00000748,0.742,DEVICE
CDR_00004685,IPDR_00001467,0.857,TEMPORAL
CDR_00000255,IPDR_00001086,0.945,DEVICE
CDR_00003866,IPDR_00003893,0.964,DEVICE
CDR_00003678,IPDR_00002982,0.748,DEVICE
CDR_00005089,IPDR_00002389,0.804,TEMPORAL
CDR_00004581,IPDR_00000035,0.959,DEVICE
CDR_00003531,IPDR_00003630,0.969,DEVICE
CDR_00004714,IPDR_00002635,0.904,DEVICE
CDR_00000609,IPDR_00000970,0.826,DEVICE
CDR_00003401,IPDR_00003974,0.925,DEVICE
CDR_00005076,IPDR_00003411,0.911,DEVICE
CDR_00001237,IPDR_00003918,0.789,TEMPORAL
CDR_00004673,IPDR_00001945,0.728,NETWORK
CDR_00005623,IPDR_00001381,0.979,NETWORK
CDR_00003604,IPDR_00003127,0.758,DEVICE
CDR_00005105,IPDR_00000242,0.83,TEMPORAL
CDR_00003199,IPDR_00001546,0.702,DEVICE
CDR_00002037,IPDR_00000087,0.792,TEMPORAL
CDR_00002761,IPDR_00000939,0.791,TEMPORAL
CDR_00004062,IPDR_00002801,0.73,TEMPORAL
CDR_00001268,IPDR_00001280,0.72,NETWORK
CDR_00005858,IPDR_00003110,0.855,NETWORK
CDR_00004481,IPDR_00000575,0.871,NETWORK
CDR_00000358,IPDR_00003692,0.95,NETWORK
CDR_00001058,IPDR_00000354,0.988,NETWORK
CDR_00004781,IPDR_00002615,0.838,DEVICE
CDR_00002602,IPDR_00002071,0.976,NETWORK
CDR_00002530,IPDR_00001780,0.948,DEVICE
CDR_00000146,IPDR_00002829,0.73,NETWORK
CDR_00002400,IPDR_00003792,0.975,NETWORK
CDR_00002344,IPDR_00000514,0.922,DEVICE
CDR_00003362,IPDR_00001817,0.967,NETWORK
CDR_00005063,IPDR_00001190,0.825,NETWORK
CDR_00002880,IPDR_00000965,0.803,DEVICE
CDR_00001354,IPDR_00002870,0.892,NETWORK
CDR_00004731,IPDR_00002528,0.866,NETWORK
CDR_00000773,IPDR_00002184,0.895,DEVICE
CDR_00003293,IPDR_00002191,0.988,DEVICE
CDR_00003538,IPDR_00000099,0.927,DEVICE
CDR_00001518,IPDR_00002880,0.759,DEVICE
CDR_00004412,IPDR_00002220,0.852,NETWORK
CDR_00005350,IPDR_00003933,0.977,TEMPORAL
CDR_00003857,IPDR_00003286,0.788,TEMPORAL
CDR_00002211,IPDR_00000199,0.981,TEMPORAL
CDR_00004084,IPDR_00001468,0.768,DEVICE
CDR_00004843,IPDR_00000167,0.96,DEVICE
CDR_00000036,IPDR_00003383,0.987,DEVICE
CDR_00003303,IPDR_00003253,0.964,TEMPORAL
CDR_00004436,IPDR_00001580,0.708,DEVICE
CDR_00000280,IPDR_00001249,0.777,TEMPORAL
CDR_00001835,IPDR_00000490,0.965,NETWORK
CDR_00001328,IPDR_00003954,0.713,NETWORK
CDR_00001426,IPDR_00000098,0.701,TEMPORAL
CDR_00001831,IPDR_00000397,0.826,DEVICE
CDR_00000022,IPDR_00003454,0.856,NETWORK
CDR_00000575,IPDR_00002763,0.79,DEVICE
CDR_00004757,IPDR_00000885,0.761,NETWORK
CDR_00005755,IPDR_00003650,0.834,DEVICE
CDR_00004179,IPDR_00002725,0.763,DEVICE
CDR_00003797,IPDR_00001076,0.872,DEVICE
CDR_00000450,IPDR_00002601,0.956,TEMPORAL
CDR_00005885,IPDR_00000147,0.775,NETWORK
CDR_00000465,IPDR_00003353,0.86,TEMPORAL
CDR_00002378,IPDR_00000278,0.852,TEMPORAL
CDR_00003691,IPDR_00003513,0.704,DEVICE
CDR_00002061,IPDR_00003602,0.741,NETWORK
CDR_00003079,IPDR_00002476,0.901,NETWORK
CDR_00005772,IPDR_00003691,0.918,NETWORK
CDR_00001229,IPDR_00001160,0.978,DEVICE
CDR_00001647,IPDR_00001790,0.83,NETWORK
CDR_00002723,IPDR_00003147,0.918,NETWORK
CDR_00005198,IPDR_00002665,0.933,DEVICE
CDR_00000021,IPDR_00001304,0.71,DEVICE
CDR_00002000,IPDR_00000125,0.716,DEVICE
CDR_00003853,IPDR_00001636,0.761,NETWORK
CDR_00001032,IPDR_00000487,0.716,TEMPORAL
CDR_00003048,IPDR_00000546,0.966,DEVICE
CDR_00004785,IPDR_00000263,0.743,NETWORK
CDR_00004600,IPDR_00003604,0.879,TEMPORAL
CDR_00003837,IPDR_00003247,0.985,TEMPORAL
CDR_00000591,IPDR_00000780,0.851,DEVICE
CDR_00002437,IPDR_00000320,0.799,NETWORK
CDR_00004061,IPDR_00001654,0.831,DEVICE
CDR_00000705,IPDR_00002349,0.928,DEVICE
CDR_00005948,IPDR_00001562,0.871,NETWORK
CDR_00004107,IPDR_00003511,0.923,TEMPORAL
CDR_00001691,IPDR_00000262,0.714,TEMPORAL
CDR_00004987,IPDR_00001755,0.742,NETWORK
CDR_00003126,IPDR_00001100,0.904,TEMPORAL
CDR_00004257,IPDR_00002190,0.97,DEVICE
CDR_00000787,IPDR_00002530,0.978,NETWORK
CDR_00004400,IPDR_00003708,0.902,NETWORK
CDR_00005319,IPDR_00000787,0.713,NETWORK
CDR_00004321,IPDR_00002649,0.953,DEVICE
CDR_00004425,IPDR_00000884,0.82,NETWORK
CDR_00004618,IPDR_00002908,0.817,TEMPORAL
CDR_00001370,IPDR_00001838,0.997,TEMPORAL
CDR_00001777,IPDR_00000425,0.977,TEMPORAL
CDR_00004311,IPDR_00002122,0.758,NETWORK
CDR_00001857,IPDR_00001337,0.752,TEMPORAL
CDR_00002105,IPDR_00003405,0.849,NETWORK
CDR_00004095,IPDR_00000446,0.9,TEMPORAL
CDR_00004818,IPDR_00000545,0.93,DEVICE
CDR_00000663,IPDR_00003139,0.951,TEMPORAL
CDR_00004632,IPDR_00003073,0.743,DEVICE
CDR_00004070,IPDR_00001766,0.954,NETWORK
CDR_00002668,IPDR_00002178,0.784,DEVICE
CDR_00004446,IPDR_00001142,0.81,NETWORK
CDR_00004661,IPDR_00003446,0.853,NETWORK
CDR_00002029,IPDR_00001092,0.753,NETWORK
CDR_00001378,IPDR_00002558,0.725,DEVICE
CDR_00004923,IPDR_00000177,0.703,DEVICE
CDR_00000905,IPDR_00001683,0.996,DEVICE
CDR_00001531,IPDR_00002023,0.731,TEMPORAL
CDR_00005144,IPDR_00000180,0.829,NETWORK
CDR_00002853,IPDR_00001971,0.751,DEVICE
CDR_00005353,IPDR_00002925,0.955,TEMPORAL
CDR_00002777,IPDR_00000412,0.902,TEMPORAL
CDR_00002637,IPDR_00001888,0.709,DEVICE
CDR_00000581,IPDR_00001320,0.715,NETWORK
CDR_00004560,IPDR_00001861,0.833,DEVICE
CDR_00001776,IPDR_00002720,0.785,DEVICE
CDR_00001728,IPDR_00000569,0.94,NETWORK
CDR_00005844,IPDR_00001484,0.819,DEVICE
CDR_00000989,IPDR_00001833,0.861,TEMPORAL
CDR_00004306,IPDR_00001270,0.94,TEMPORAL
CDR_00000582,IPDR_00002700,0.7,NETWORK
CDR_00005195,IPDR_00002998,0.969,TEMPORAL
CDR_00002783,IPDR_00003146,0.704,DEVICE
CDR_00000408,IPDR_00002263,0.785,NETWORK
CDR_00001689,IPDR_00002254,0.778,NETWORK
CDR_00001803,IPDR_00000925,0.813,NETWORK
CDR_00001837,IPDR_00000104,0.751,NETWORK
CDR_00004501,IPDR_00001179,0.839,TEMPORAL
CDR_00003835,IPDR_00002116,0.949,NETWORK
CDR_00001861,IPDR_00002852,0.788,NETWORK
CDR_00001501,IPDR_00003886,0.994,NETWORK
CDR_00004389,IPDR_00003045,0.78,TEMPORAL
CDR_00005116,IPDR_00000069,0.755,TEMPORAL
CDR_00004946,IPDR_00000292,0.758,NETWORK
CDR_00002275,IPDR_00001872,0.824,DEVICE
CDR_00005962,IPDR_00003011,0.74,TEMPORAL
CDR_00002532,IPDR_00001318,0.962,DEVICE
CDR_00005269,IPDR_00003485,0.863,DEVICE
CDR_00004417,IPDR_00001069,0.779,TEMPORAL
CDR_00004405,IPDR_00000770,0.847,TEMPORAL
CDR_00001594,IPDR_00003725,0.789,TEMPORAL
CDR_00005134,IPDR_00002505,0.877,DEVICE
CDR_00001455,IPDR_00003941,0.925,TEMPORAL
CDR_00003753,IPDR_00001898,0.741,NETWORK
CDR_00000622,IPDR_00002025,0.898,DEVICE
CDR_00003231,IPDR_00000413,0.923,DEVICE
CDR_00005604,IPDR_00000942,0.85,NETWORK
CDR_00004668,IPDR_00000659,0.766,NETWORK
CDR_00001182,IPDR_00001598,0.828,DEVICE
CDR_00005967,IPDR_00001325,0.808,TEMPORAL
CDR_00004427,IPDR_00003980,0.741,DEVICE
CDR_00005035,IPDR_00003306,0.996,TEMPORAL
CDR_00002180,IPDR_00003498,0.967,TEMPORAL
CDR_00000317,IPDR_00001474,0.892,TEMPORAL
CDR_00003605,IPDR_00000649,0.727,NETWORK
CDR_00004806,IPDR_00001567,0.912,DEVICE
CDR_00005218,IPDR_00003008,0.825,TEMPORAL
CDR_00000399,IPDR_00003729,0.713,TEMPORAL
CDR_00001643,IPDR_00000401,0.779,NETWORK
CDR_00004555,IPDR_00000805,0.895,TEMPORAL
CDR_00004832,IPDR_00003014,0.95,NETWORK
CDR_00001987,IPDR_00002379,0.767,DEVICE
CDR_00004477,IPDR_00000334,0.702,TEMPORAL
CDR_00001336,IPDR_00003746,0.756,DEVICE
CDR_00002477,IPDR_00002831,0.727,TEMPORAL
CDR_00001764,IPDR_00002571,0.835,TEMPORAL
CDR_00004415,IPDR_00003842,0.985,TEMPORAL
CDR_00000371,IPDR_00002042,0.864,TEMPORAL
CDR_00002422,IPDR_00002793,0.806,NETWORK
CDR_00003755,IPDR_00000207,0.759,TEMPORAL
CDR_00004249,IPDR_00002894,0.778,DEVICE
CDR_00003862,IPDR_00002583,0.733,NETWORK
CDR_00002201,IPDR_00002015,0.792,NETWORK
CDR_00001291,IPDR_00002253,0.751,DEVICE
CDR_00000590,IPDR_00001962,0.805,NETWORK
CDR_00004222,IPDR_00001656,0.964,NETWORK
CDR_00003341,IPDR_00001330,0.995,NETWORK
CDR_00001492,IPDR_00001981,0.79,TEMPORAL
CDR_00005303,IPDR_00001955,0.734,DEVICE
CDR_00004547,IPDR_00000765,0.943,TEMPORAL
CDR_00005580,IPDR_00001846,0.959,TEMPORAL
CDR_00004433,IPDR_00002019,0.87,TEMPORAL
CDR_00002702,IPDR_00000230,0.941,DEVICE
CDR_00001429,IPDR_00003125,0.94,NETWORK
CDR_00002467,IPDR_00002701,0.81,DEVICE
CDR_00000175,IPDR_00002013,0.796,TEMPORAL
CDR_00000272,IPDR_00003291,0.933,NETWORK
CDR_00005767,IPDR_00000399,0.719,DEVICE
CDR_00003996,IPDR_00000448,0.874,DEVICE
CDR_00004216,IPDR_00000940,0.757,NETWORK
CDR_00004217,IPDR_00000960,0.85,TEMPORAL
CDR_00004318,IPDR_00001272,0.898,NETWORK
CDR_00005573,IPDR_00002976,0.737,TEMPORAL
CDR_00004231,IPDR_00001625,0.82,TEMPORAL
CDR_00005050,IPDR_00003268,0.764,DEVICE
CDR_00004197,IPDR_00000043,0.898,NETWORK
CDR_00005615,IPDR_00000267,0.932,DEVICE
CDR_00003378,IPDR_00001291,0.708,DEVICE
CDR_00001189,IPDR_00003164,0.917,DEVICE
CDR_00001930,IPDR_00000150,0.715,DEVICE
CDR_00003925,IPDR_00000945,0.89,NETWORK
CDR_00002101,IPDR_00003499,0.836,NETWORK
CDR_00002970,IPDR_00002086,0.911,TEMPORAL
CDR_00001965,IPDR_00000091,0.831,NETWORK
CDR_00001279,IPDR_00001226,0.783,NETWORK
CDR_00003179,IPDR_00001434,0.875,NETWORK
CDR_00005684,IPDR_00000877,0.782,NETWORK
CDR_00003809,IPDR_00001536,0.862,NETWORK
CDR_00003480,IPDR_00002803,0.961,TEMPORAL
CDR_00005465,IPDR_00000678,0.813,DEVICE
CDR_00001486,IPDR_00001502,0.995,DEVICE
CDR_00004047,IPDR_00000055,0.863,DEVICE
CDR_00002409,IPDR_00000038,0.944,DEVICE
CDR_00003302,IPDR_00000486,0.871,TEMPORAL
CDR_00005980,IPDR_00003742,0.796,DEVICE
CDR_00000743,IPDR_00002064,0.942,NETWORK
CDR_00005341,IPDR_00000447,0.953,DEVICE
CDR_00004984,IPDR_00001283,0.963,TEMPORAL
CDR_00002660,IPDR_00001963,0.815,TEMPORAL
CDR_00002158,IPDR_00003816,0.975,DEVICE
CDR_00000032,IPDR_00000343,0.712,DEVICE
CDR_00003059,IPDR_00001374,0.877,TEMPORAL
CDR_00004674,IPDR_00001763,0.772,NETWORK
CDR_00000945,IPDR_00002182,0.88,NETWORK
CDR_00000794,IPDR_00002123,0.734,DEVICE
CDR_00002343,IPDR_00003931,0.953,NETWORK
CDR_00004695,IPDR_00003899,0.882,NETWORK
CDR_00002807,IPDR_00003222,0.826,NETWORK
CDR_00002919,IPDR_00002872,0.886,NETWORK
CDR_00002361,IPDR_00002818,0.761,NETWORK
CDR_00002016,IPDR_00003834,0.97,TEMPORAL
CDR_00003003,IPDR_00001906,0.772,DEVICE
CDR_00000225,IPDR_00001980,0.715,TEMPORAL
CDR_00001043,IPDR_00003456,0.902,DEVICE
CDR_00002575,IPDR_00003506,0.946,TEMPORAL
CDR_00000571,IPDR_00003929,0.713,TEMPORAL
CDR_00001499,IPDR_00002014,0.942,TEMPORAL
CDR_00003258,IPDR_00001699,0.743,NETWORK
CDR_00001520,IPDR_00002775,0.782,DEVICE
CDR_00003064,IPDR_00002233,0.726,DEVICE
CDR_00004238,IPDR_00003072,0.746,TEMPORAL
CDR_00004562,IPDR_00000026,0.823,NETWORK
CDR_00003062,IPDR_00003407,0.768,TEMPORAL
CDR_00001088,IPDR_00001876,0.948,DEVICE
CDR_00001232,IPDR_00003261,0.92,NETWORK
CDR_00004305,IPDR_00002622,0.965,TEMPORAL
CDR_00002915,IPDR_00003960,0.926,DEVICE
CDR_00000968,IPDR_00003497,0.85,NETWORK
CDR_00001254,IPDR_00003973,0.838,DEVICE
CDR_00002330,IPDR_00001664,0.978,DEVICE
CDR_00003560,IPDR_00002160,0.99,DEVICE
CDR_00004914,IPDR_00001542,0.898,TEMPORAL
CDR_00005987,IPDR_00000033,0.743,TEMPORAL
CDR_00000709,IPDR_00003401,0.967,DEVICE
CDR_00001031,IPDR_00003245,0.928,TEMPORAL
CDR_00005265,IPDR_00001358,0.762,DEVICE
CDR_00003582,IPDR_00001933,0.852,DEVICE
CDR_00005628,IPDR_00003184,0.834,NETWORK
CDR_00000415,IPDR_00001768,0.869,DEVICE
CDR_00004375,IPDR_00002431,0.927,TEMPORAL
CDR_00005433,IPDR_00003373,0.962,NETWORK
CDR_00002053,IPDR_00001095,0.721,DEVICE
CDR_00000336,IPDR_00001093,0.974,TEMPORAL
CDR_00003350,IPDR_00003492,0.906,DEVICE
CDR_00002604,IPDR_00003293,0.972,DEVICE
CDR_00002197,IPDR_00003920,0.843,DEVICE
CDR_00002314,IPDR_00002244,0.924,DEVICE
CDR_00004151,IPDR_00002911,0.892,TEMPORAL
CDR_00000671,IPDR_00003396,0.955,DEVICE
CDR_00005544,IPDR_00002779,0.723,DEVICE
CDR_00001213,IPDR_00003449,0.835,DEVICE
CDR_00005255,IPDR_00001551,0.873,NETWORK
CDR_00001632,IPDR_00003165,0.72,NETWORK
CDR_00005889,IPDR_00002866,0.821,DEVICE
CDR_00001036,IPDR_00002650,0.903,TEMPORAL
CDR_00004740,IPDR_00003360,0.884,DEVICE
CDR_00004167,IPDR_00000279,0.89,TEMPORAL
CDR_00004103,IPDR_00001195,0.856,TEMPORAL
CDR_00005968,IPDR_00001530,0.846,DEVICE
CDR_00002087,IPDR_00000305,0.873,NETWORK
CDR_00000160,IPDR_00000518,0.994,NETWORK
CDR_00005436,IPDR_00000083,0.9,TEMPORAL
CDR_00003234,IPDR_00003574,0.851,DEVICE
CDR_00000081,IPDR_00000094,0.987,DEVICE
CDR_00001854,IPDR_00002364,0.924,DEVICE
CDR_00003670,IPDR_00002555,0.973,DEVICE
CDR_00005616,IPDR_00000725,0.941,TEMPORAL
CDR_00004003,IPDR_00003959,0.766,TEMPORAL
CDR_00000177,IPDR_00000375,0.753,NETWORK
CDR_00001039,IPDR_00003531,0.866,NETWORK
CDR_00005653,IPDR_00003876,0.883,TEMPORAL
CDR_00004302,IPDR_00003086,0.918,TEMPORAL
CDR_00000535,IPDR_00000673,0.905,DEVICE
CDR_00005406,IPDR_00000097,0.733,TEMPORAL
CDR_00000129,IPDR_00002680,0.843,DEVICE
CDR_00004418,IPDR_00003798,0.831,TEMPORAL
CDR_00000333,IPDR_00003445,0.872,TEMPORAL
CDR_00001110,IPDR_00002356,0.848,DEVICE
CDR_00002617,IPDR_00003304,0.941,TEMPORAL
CDR_00002861,IPDR_00003062,0.708,DEVICE
CDR_00003450,IPDR_00001073,0.775,NETWORK
CDR_00005120,IPDR_00002446,0.889,DEVICE
CDR_00000695,IPDR_00002512,0.908,NETWORK
CDR_00000347,IPDR_00001697,0.862,TEMPORAL
CDR_00004887,IPDR_00002078,0.861,NETWORK
CDR_00000324,IPDR_00003919,0.736,TEMPORAL
CDR_00003033,IPDR_00003466,0.866,TEMPORAL
CDR_00002902,IPDR_00001405,0.837,NETWORK
CDR_00000431,IPDR_00001726,0.981,DEVICE
CDR_00000526,IPDR_00002375,0.858,TEMPORAL
CDR_00003183,IPDR_00000866,0.959,NETWORK
CDR_00005876,IPDR_00001524,0.851,TEMPORAL
CDR_00004956,IPDR_00001165,0.951,TEMPORAL
